logNo	title	bookMention
223330536616	나는 내 길 가고.. 너는 네 길 가고..	true
223322240457	질문과 답 4.	true
223322010673	1회	true
223321170430	질문과 답 3	true
223319747880	너무 막나가는거 같은데..?	true
223317516067	질문과 답 2.	true
223314109479	질문과 답 1.	false
223309017007	턱걸이 Orientation.	false
223308025613	2023.12.31	false
223306908347	어쩌면..	false
223305501974	슬럼프	true
223300723977	놀라운 배포.  아쉬웠던 자금관리.	false
223298035789	귀신 씨나락 까먹는 소리.	true
223297498586	Self confidence 2.	false
223296079249	Self confidence 1.	true
223292138789	유연성.	true
223290332356	마치면서..	false
223288561580	자금 관리에 대해서..	false
223286429197	추세를 적으로 삼지 마라.	false
223285437312	trading 의 핵심.	false
223284238673	trend follower 에게, 지금 시장의 위치는?	true
223283357820	낮은 승률..	true
223282324693	가치투자도 역시..	true
223279705897	손익비.	false
223278930489	수익은 열고, 손실은 닫아라.	true
223278736307	시작하면서..	false
223277710607	과정.	false
223277349377	고민. 그리고 좋은 음악 2.	false
223276501604	고민. 그리고 좋은 음악.	false
223275957253	가난에 얽힌 기억.	true
223275123874	어려운 질문 1.	false
223274768131	13 년전 생각.	false
223273366678	그래서, 내가 사람 보는 눈이 좋다고?	true
223272394076	세월 2.	true
223271520118	세월.	false
223270510797	세번째 승부수 2.	true
223269419840	세번째 승부수 1.	true
223268154352	영혼을 갈아 넣는다는건..	false
223266392034	내가 알아본 두 사람.	true
223263481307	내가 아는 이야기만 하자.	true
223261662776	데이트레이딩 ?	false
223261051079	추세추종 거래가 쉬울까?	true
223259032924	아마.. 이게 달랐을거다.	true
223255258357	잊혀지지 않는 기억	true
223253282993	시작했으면, 끝은 봐라.	false
223251245007	황태머리 사건	false
223249444906	팬심에 손절은 없다.. ?	true
223242477317	내가 만난 젊은 투자자 분들.	false
223238666142	인간.	false
223237039143	시간을 건너 뛰어서 2.	false
223236993754	시간을 건너 뛰어서 1.	false
223236607978	23년전.	true
223235303144	강탄이의 수난시대	true
223234765564	익히되 잊어라.	true
223232849180	가장 쉽게 돈버는 법	true
223224900583	다름에 대한 넉넉함.	true
223220717725	벼리와 강탄이의 만남	false
223219387085	강탄이와의 만남.	false
223216383809	벼리와 산행 2	true
223215362804	벼리와 산행 1	true
223214062540	벼리와 첫만남	false
223069257059	덧붙이는 글.	false
223040543072	끝	true
223038137794	트레이더를 꿈꾸는 분들께 2.	true
223037224845	트레이더를 꿈꾸는 분들께 1.	true
223032557691	잡담 3	true
223030140266	투자의 동의어는 Risk.	true
223025471397	개인투자자의 모습.	false
223021596388	잡담 2.	false
223020258361	음악 한곡.	false
223016400919	게임의 본질 2.	true
223013208265	게임의 본질 1.	true
223011357315	잡담	true
223009555753	그림 한장.	false
223008176144	열명..	true
223003139150	매몰 비용의 오류	true
222995099327	영혼을 갈아 넣어라.	true
222988818188	대화 4	false
222982317290	네게 맞는 방식을 서둘지 말고 찾아라	true
222975002442	대화 3.	false
222974560901	대화2	false
222974514282	대화 1.	false
222972121391	네 수준을 정확하게 알고...	true
222970918860	질문.	false
222429256925	끝	true
222427474665	몰입	true
222418925862	실패가 준 선물.	true
222412539578	포정해우(庖丁解牛)	false
222408884960	근성..	true
222397253799	Perfect is the enemy of good.	false
222393101024	원칙 2.	false
222391599644	원칙 1	true
222381597962	여동생 부부	false
222375444204	과정의 중요성..	false
222362759544	자만하지 마라. 서둘지 마라. 망설이지 마라.	true
222356644628	경험의 무게 ?	false
222344581658	고수와 하수	false
222342043145	투자 vs 트레이딩..	false
222339626674	인내심..	false
222332396822	간절함...	false
222323161459	정답은 없지만 성공한 사람은 많다.	false
